Metadata_JCP2022,mean,std,count
JCP2022_805971,9.163111,1.1306573,5
JCP2022_807616,9.152921,4.1356707,5
JCP2022_803696,9.152331,7.411424,7
JCP2022_804710,9.152052,10.6971855,5
JCP2022_801510,9.1432905,1.3071332,5
JCP2022_805000,9.134301,1.7563179,7
JCP2022_802167,9.134014,3.8938773,6
JCP2022_805610,9.125269,1.5334073,5
JCP2022_806924,9.123966,1.5494761,10
JCP2022_804937,9.097778,5.8419075,5
JCP2022_807744,9.088974,0.909378,5
JCP2022_802287,9.075731,8.39757,5
JCP2022_805827,9.047487,1.4010617,5
JCP2022_805417,9.047331,7.804786,5
JCP2022_804628,9.040204,1.178707,5
JCP2022_801895,9.037671,4.9008164,10
JCP2022_801195,9.032458,0.8002848,5
JCP2022_802502,9.027604,1.0925593,5
JCP2022_803348,9.019482,4.340988,5
JCP2022_801339,9.015028,5.5138593,5
JCP2022_801559,9.00919,1.1479232,5
JCP2022_802563,8.984751,4.6179185,5
JCP2022_805486,8.98129,0.91071856,5
JCP2022_805962,8.98015,6.207075,5
JCP2022_802054,8.973861,0.5216509,5
JCP2022_802752,8.966489,9.293408,5
JCP2022_804704,8.956658,0.7895894,5
JCP2022_803399,8.9513445,1.4012097,5
JCP2022_801807,8.944545,0.92322946,5
JCP2022_802139,8.9341755,1.7804515,5
JCP2022_802989,8.933699,3.4705586,5
JCP2022_804098,8.932792,0.4110417,2
JCP2022_800735,8.914434,2.7953398,5
JCP2022_800830,8.913055,2.450792,5
JCP2022_800085,8.903813,1.492774,5
JCP2022_804297,8.897963,2.01887,5
JCP2022_807289,8.89666,2.1632433,5
JCP2022_807911,8.89422,2.5809698,5
JCP2022_801757,8.882173,1.1232153,7
JCP2022_801283,8.86589,0.8899216,10
JCP2022_806821,8.863461,2.2912467,5
JCP2022_803408,8.861212,0.91870385,5
JCP2022_800586,8.850031,0.5501442,7
JCP2022_805212,8.847289,3.5774286,5
JCP2022_800710,8.846787,2.3493164,7
JCP2022_804513,8.837118,3.621457,5
JCP2022_801806,8.829171,1.6387789,5
JCP2022_800843,8.823069,1.7086737,5
JCP2022_807290,8.817352,1.1627288,5
JCP2022_807962,8.813569,0.9825495,5
JCP2022_803858,8.802956,0.63346493,5
JCP2022_801552,8.797522,3.3065379,5
JCP2022_806179,8.790827,1.3870275,6
JCP2022_801186,8.78974,1.9499596,5
JCP2022_801000,8.775568,3.515954,5
JCP2022_807276,8.770139,2.237754,4
JCP2022_807011,8.769221,0.92192197,6
JCP2022_805431,8.767005,7.4672594,5
JCP2022_800748,8.757789,3.207434,7
JCP2022_805209,8.755896,1.1835809,5
JCP2022_807286,8.744165,7.984269,5
JCP2022_800885,8.732859,9.09342,5
JCP2022_802336,8.730838,2.8250015,5
JCP2022_804559,8.723699,1.4943513,5
JCP2022_807625,8.712361,5.5839434,5
JCP2022_800853,8.692844,7.94556,5
JCP2022_806009,8.690455,9.075155,5
JCP2022_803497,8.683073,0.46839198,5
JCP2022_801260,8.679361,2.279911,5
JCP2022_807328,8.670823,2.9233522,7
JCP2022_806248,8.654645,0.76012796,5
JCP2022_800336,8.644259,7.8313694,5
JCP2022_800583,8.638712,1.0569515,5
JCP2022_801723,8.638466,1.6431086,7
JCP2022_804130,8.618697,1.9259295,7
JCP2022_802051,8.618254,1.1842749,5
JCP2022_800151,8.616167,0.8052983,5
JCP2022_807069,8.608803,1.6717676,5
JCP2022_801019,8.587471,5.833496,5
JCP2022_801583,8.584951,0.65051925,5
JCP2022_804014,8.583816,3.1027274,5
JCP2022_806967,8.581442,3.5108428,5
JCP2022_800399,8.576471,2.1058428,7
JCP2022_807450,8.576429,0.5351653,5
JCP2022_803957,8.5735,4.998255,5
JCP2022_800818,8.570594,8.833133,5
JCP2022_805405,8.561936,0.47034243,5
JCP2022_802908,8.551113,5.8481555,5
JCP2022_804138,8.55081,1.1210561,7
JCP2022_805338,8.542319,1.958699,7
JCP2022_800026,8.538338,9.684076,5
JCP2022_801030,8.521465,3.9892807,5
JCP2022_801610,8.5171,4.2229633,5
JCP2022_801432,8.512497,3.2854366,5
JCP2022_802052,8.5068865,0.51514405,5
JCP2022_802082,8.504274,1.459712,5
JCP2022_803128,8.502462,7.7597923,5
JCP2022_801937,8.50083,1.584413,5
JCP2022_803488,8.495936,5.5552726,5
JCP2022_803584,8.491319,14.311494,15
JCP2022_803258,8.487898,2.9921505,6
JCP2022_803847,8.481377,9.946764,10
JCP2022_805158,8.469027,0.8280966,5
JCP2022_805125,8.469005,2.197899,7
JCP2022_801786,8.45575,8.499753,5
JCP2022_800667,8.4431715,1.1269273,5
JCP2022_803946,8.438445,1.747156,5
JCP2022_803783,8.437351,1.4488775,5
JCP2022_805915,8.4313545,1.743042,5
